Naziv uređaja,Cena
OnePlus Open 5G Dual SIM 512GB 16GB RAM Zeleni,1557.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Crni,1424.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Sivi,1412.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Cream Bež,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Ice Plavi,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Phantom Crni,1250.00 €
Samsung Galaxy Z Flip5 5G Dual eSIM 512GB 8GB RAM SM-F731 Retro Indigo Plavi,1245.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Crni,1243.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Ljubičasti,1243.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Cream Bež,1202.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Phantom Crni,1190.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Ice Plavi,1190.00 €
OnePlus Open 5G Dual SIM 512GB 16GB RAM Zeleni,1557.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Crni,1424.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Sivi,1412.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Cream Bež,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Ice Plavi,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Phantom Crni,1250.00 €
Samsung Galaxy Z Flip5 5G Dual eSIM 512GB 8GB RAM SM-F731 Retro Indigo Plavi,1245.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Crni,1243.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Ljubičasti,1243.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Cream Bež,1202.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Phantom Crni,1190.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Ice Plavi,1190.00 €
OnePlus Open 5G Dual SIM 512GB 16GB RAM Zeleni,1557.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Crni,1424.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Sivi,1412.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Cream Bež,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Ice Plavi,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Phantom Crni,1250.00 €
Samsung Galaxy Z Flip5 5G Dual eSIM 512GB 8GB RAM SM-F731 Retro Indigo Plavi,1245.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Crni,1243.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Ljubičasti,1243.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Cream Bež,1202.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Phantom Crni,1190.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Ice Plavi,1190.00 €
OnePlus Open 5G Dual SIM 512GB 16GB RAM Zeleni,1557.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Crni,1424.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Sivi,1412.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Cream Bež,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Ice Plavi,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Phantom Crni,1250.00 €
Samsung Galaxy Z Flip5 5G Dual eSIM 512GB 8GB RAM SM-F731 Retro Indigo Plavi,1245.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Crni,1243.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Ljubičasti,1243.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Cream Bež,1202.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Phantom Crni,1190.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Ice Plavi,1190.00 €
OnePlus Open 5G Dual SIM 512GB 16GB RAM Zeleni,1557.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Crni,1424.00 €
Samsung Galaxy S24 Ultra 5G Dual SIM 1TB 12GB RAM SM-S928 Sivi,1412.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Cream Bež,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Ice Plavi,1262.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 512GB 12GB RAM SM-F946 Phantom Crni,1250.00 €
Samsung Galaxy Z Flip5 5G Dual eSIM 512GB 8GB RAM SM-F731 Retro Indigo Plavi,1245.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Crni,1243.00 €
Huawei Honor Magic V2 5G Dual SIM 512GB 16GB RAM Ljubičasti,1243.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Cream Bež,1202.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Phantom Crni,1190.00 €
Samsung Galaxy Z Fold5 5G Dual eSIM 256GB 12GB RAM SM-F946 Ice Plavi,1190.00 €
